strain	virus	date	accession_id	region	country	province	division	location
hCoV_19_Madagascar_IPM_38424_2020_EPI_ISL_1660225_2020_10_28	sars_cov_2	2021-03-24	EPI_ISL_4297567	Africa	Madagascar	Fianarantsoa	Haute-Matsiatra	Ambalavao
hCoV_19_Madagascar_IPM_38640_2020_EPI_ISL_1660226_2020_11_09	sars_cov_2	2021-03-29	EPI_ISL_4297593	Africa	Madagascar	Fianarantsoa	Haute-Matsiatra	Ambalavao
hCoV_19_Madagascar_IPM_38641_2020_EPI_ISL_1660227_2020_11_10	sars_cov_2	2021-03-29	EPI_ISL_4297594	Africa	Madagascar	Fianarantsoa	Haute-Matsiatra	Ambalavao
hCoV_19_Madagascar_IPM_38667_2020_EPI_ISL_1660228_2020_11_09	sars_cov_2	2021-01-11	EPI_ISL_1660239	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_39269_2020_EPI_ISL_1660229_2020_11_10	sars_cov_2	2021-01-26	EPI_ISL_1660247	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_39272_2020_EPI_ISL_1660230_2020_11_11	sars_cov_2	2021-02-04	EPI_ISL_1660259	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_40265_2020_EPI_ISL_1660231_2020_12_23	sars_cov_2	2021-02-09	EPI_ISL_1660263	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_40266_2020_EPI_ISL_1660232_2020_12_23	sars_cov_2	2021-02-16	EPI_ISL_1660269	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_40410_2020_EPI_ISL_1660233_2020_12_26	sars_cov_2	2021-02-22	EPI_ISL_1660277	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_40419_2020_EPI_ISL_1660234_2020_12_26	sars_cov_2	2021-01-11	EPI_ISL_1660301	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_00513_2021_EPI_ISL_1660235_2021_01_06	sars_cov_2	2020-11-09	EPI_ISL_1660313	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_00555_2021_EPI_ISL_1660236_2021_01_07	sars_cov_2	2020-11-11	EPI_ISL_1660314	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_00593_2021_EPI_ISL_1660237_2021_01_08	sars_cov_2	2020-11-25	EPI_ISL_1660322	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_00643_2021_EPI_ISL_1660238_2021_01_11	sars_cov_2	2020-12-08	EPI_ISL_1660323	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_00659_2021_EPI_ISL_1660239_2021_01_11	sars_cov_2	2020-12-07	EPI_ISL_1660324	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
hCoV_19_Madagascar_IPM_00762_2021_EPI_ISL_1660240_2021_01_08	sars_cov_2	2020-12-07	EPI_ISL_1660325	Africa	Madagascar	Antananarivo	Analamanga	Ambohidratrimo
